"None","E(keV)","psi0rSi111","psi0iSi111","psihrSi111","psihiSi111","psihbrSi111","psihbiSi111"
247,14.30000,-4.7524E-006,3.5891E-008,2.5054E-006,0.000000025,2.5054E-006,0.000000025
248,14.35000,-4.7192E-006,3.5394E-008,2.4878E-006,2.4689E-008,2.4878E-006,2.4689E-008
249,14.40000,-4.6863E-006,3.4906E-008,2.4705E-006,2.4348E-008,2.4705E-006,2.4348E-008
250,14.45000,-4.6538E-006,3.4426E-008,2.4533E-006,0.000000024,2.4533E-006,0.000000024
251,14.50000,-4.6215E-006,0.000000034,2.4363E-006,2.3684E-008,2.4363E-006,2.3684E-008
252,14.55000,-4.5897E-006,3.349E-008,2.4194E-006,2.3361E-008,2.4194E-006,2.3361E-008
253,14.60000,-4.5581E-006,0.000000033,2.4028E-006,0.000000023,2.4028E-006,0.000000023
254,14.65000,-4.5269E-006,3.2585E-008,2.3863E-006,2.273E-008,2.3863E-006,2.273E-008
255,14.70000,-0.000004496,3.2144E-008,0.00000237,2.2423E-008,0.00000237,2.2423E-008
256,14.75000,-4.4654E-006,3.1711E-008,2.3538E-006,2.212E-008,2.3538E-006,2.212E-008
257,14.80000,-4.4351E-006,3.1285E-008,2.3378E-006,2.1823E-008,2.3378E-006,2.1823E-008
258,14.85000,-4.4052E-006,3.0866E-008,0.000002322,2.1531E-008,0.000002322,2.1531E-008
259,14.90000,-4.3755E-006,3.0454E-008,2.3063E-006,2.1243E-008,2.3063E-006,2.1243E-008
260,14.95000,-4.3461E-006,0.00000003,2.2908E-006,0.000000021,2.2908E-006,0.000000021
261,15.00000,-4.3171E-006,2.965E-008,2.2755E-006,2.0683E-008,2.2755E-006,2.0683E-008
262,15.05000,-4.2883E-006,2.9257E-008,2.2603E-006,2.0409E-008,2.2603E-006,2.0409E-008
263,15.10000,-4.2598E-006,2.8872E-008,2.2453E-006,2.014E-008,2.2453E-006,2.014E-008
264,15.15000,-4.2316E-006,2.8492E-008,2.2304E-006,1.9876E-008,2.2304E-006,1.9876E-008
265,15.20000,-4.2036E-006,2.8119E-008,2.2156E-006,1.9616E-008,2.2156E-006,1.9616E-008
266,15.25000,-0.000004176,2.7752E-008,0.000002201,1.936E-008,0.000002201,1.936E-008
267,15.30000,-4.1486E-006,2.7391E-008,2.1866E-006,1.9108E-008,2.1866E-006,1.9108E-008
268,15.35000,-4.1215E-006,0.000000027,2.1722E-006,1.886E-008,2.1722E-006,1.886E-008
269,15.40000,-4.0946E-006,2.6686E-008,2.1581E-006,1.8616E-008,2.1581E-006,1.8616E-008
270,15.45000,-0.000004068,2.6342E-008,0.000002144,1.8376E-008,0.000002144,1.8376E-008
271,15.50000,-4.0417E-006,0.000000026,2.1301E-006,1.814E-008,2.1301E-006,1.814E-008
272,15.55000,-4.0156E-006,2.567E-008,2.1164E-006,1.7908E-008,2.1164E-006,1.7908E-008
273,15.60000,-3.9898E-006,2.5342E-008,2.1027E-006,1.7679E-008,2.1027E-006,1.7679E-008
274,15.65000,-3.9642E-006,0.000000025,2.0892E-006,1.7454E-008,2.0892E-006,1.7454E-008
275,15.70000,-3.9389E-006,2.4702E-008,2.0759E-006,1.7233E-008,2.0759E-006,1.7233E-008
276,15.75000,-3.9138E-006,2.439E-008,2.0626E-006,0.000000017,2.0626E-006,0.000000017
277,15.80000,-0.000003889,2.4082E-008,2.0495E-006,1.68E-008,2.0495E-006,1.68E-008
278,15.85000,-3.8643E-006,2.3779E-008,2.0365E-006,1.6589E-008,2.0365E-006,1.6589E-008
279,15.90000,-0.00000384,2.3481E-008,2.0236E-006,1.6381E-008,2.0236E-006,1.6381E-008
280,15.95000,-3.8158E-006,2.3188E-008,2.0109E-006,1.6176E-008,2.0109E-006,1.6176E-008
281,16.00000,-3.7919E-006,2.2899E-008,1.9983E-006,0.000000016,1.9983E-006,0.000000016
282,16.05000,-3.7682E-006,2.2614E-008,1.9858E-006,1.5776E-008,1.9858E-006,1.5776E-008
283,16.10000,-3.7447E-006,2.2334E-008,1.9734E-006,1.5581E-008,1.9734E-006,1.5581E-008
