K,TotalPower,OnAxisPowerDensity,FluxDensity1,CentralConeFlux1,F1,wavelength1,photonEnergy1,FluxDensity3,CentralConeFlux3,F3,wavelength3,photonEnergy3,FluxDensity5,CentralConeFlux5,F5,wavelength5,photonEnergy5,FluxDensity7,CentralConeFlux7,F7,wavelength7,photonEnergy7,FluxDensity9,CentralConeFlux9,F9,wavelength9,photonEnergy9,FluxDensity11,CentralConeFlux11,F11,wavelength11,photonEnergy11,FluxDensity13,CentralConeFlux13,F13,wavelength13,photonEnergy13,FluxDensity15,CentralConeFlux15,F15,wavelength15,photonEnergy15,FluxDensity17,CentralConeFlux17,F17,wavelength17,photonEnergy17,FluxDensity19,CentralConeFlux19,F19,wavelength19,photonEnergy19
" 1.076835e+00"," 9.815097e+02"," 1.250273e+04"," 1.920886e+18"," 2.758010e+15"," 3.765412e-01"," 5.727667e-10"," 2.163184e+00"," 7.498336e+17"," 5.308347e+14"," 2.174189e-01"," 1.909161e-10"," 6.489763e+00"," 1.863379e+17"," 1.165880e+14"," 7.958674e-02"," 1.145496e-10"," 1.081627e+01"," 4.301520e+16"," 2.635303e+13"," 2.518520e-02"," 8.180716e-11"," 1.514537e+01"," 9.684817e+15"," 6.023239e+12"," 7.400982e-03"," 6.362756e-11"," 1.947269e+01"," 2.149818e+15"," 1.384234e+12"," 2.078831e-03"," 5.205861e-11"," 2.380010e+01"," 4.737046e+14"," 3.191108e+11"," 5.663718e-04"," 4.404940e-11"," 2.812751e+01"," 1.034665e+14"," 7.370828e+10"," 1.509469e-04"," 3.817601e-11"," 3.245494e+01"," 2.258780e+13"," 1.704718e+10"," 3.956564e-05"," 3.368462e-11"," 3.678237e+01"," 4.920952e+12"," 3.946222e+09"," 1.023651e-05"," 3.013880e-11"," 4.110979e+01"
" 1.084652e+00"," 9.958113e+02"," 1.260006e+04"," 1.921920e+18"," 2.777222e+15"," 3.771473e-01"," 5.758296e-10"," 2.151678e+00"," 7.627704e+17"," 5.431475e+14"," 2.212787e-01"," 1.919370e-10"," 6.455243e+00"," 1.929283e+17"," 1.212876e+14"," 8.235440e-02"," 1.151622e-10"," 1.075874e+01"," 4.530903e+16"," 2.787878e+13"," 2.650162e-02"," 8.224463e-11"," 1.506481e+01"," 1.037323e+16"," 6.480196e+12"," 7.920109e-03"," 6.396781e-11"," 1.936912e+01"," 2.342038e+15"," 1.514609e+12"," 2.262527e-03"," 5.233700e-11"," 2.367350e+01"," 5.232554e+14"," 3.551207e+11"," 6.269312e-04"," 4.428496e-11"," 2.797789e+01"," 1.166541e+14"," 8.342600e+10"," 1.699391e-04"," 3.838016e-11"," 3.228230e+01"," 2.588208e+13"," 1.962425e+10"," 4.530461e-05"," 3.386475e-11"," 3.658672e+01"," 5.738823e+12"," 4.620414e+09"," 1.192161e-05"," 3.029997e-11"," 4.089112e+01"
" 1.092496e+00"," 1.010267e+03"," 1.269769e+04"," 1.925074e+18"," 2.796322e+15"," 3.777105e-01"," 5.789255e-10"," 2.140172e+00"," 7.764024e+17"," 5.555970e+14"," 2.251402e-01"," 1.929689e-10"," 6.420723e+00"," 1.996994e+17"," 1.261200e+14"," 8.517770e-02"," 1.157814e-10"," 1.070120e+01"," 4.765619e+16"," 2.947438e+13"," 2.786856e-02"," 8.268681e-11"," 1.498425e+01"," 1.109811e+16"," 6.966202e+12"," 8.468577e-03"," 6.431173e-11"," 1.926554e+01"," 2.549053e+15"," 1.655632e+12"," 2.459961e-03"," 5.261838e-11"," 2.354690e+01"," 5.795654e+14"," 3.947347e+11"," 6.931392e-04"," 4.452305e-11"," 2.782828e+01"," 1.313824e+14"," 9.429829e+10"," 1.910588e-04"," 3.858651e-11"," 3.210967e+01"," 2.963668e+13"," 2.255659e+10"," 5.179575e-05"," 3.404682e-11"," 3.639107e+01"," 6.678939e+12"," 5.400608e+09"," 1.386016e-05"," 3.046288e-11"," 4.067246e+01"
" 1.100368e+00"," 1.024878e+03"," 1.279561e+04"," 1.927813e+18"," 2.815311e+15"," 3.782309e-01"," 5.820548e-10"," 2.128666e+00"," 7.904807e+17"," 5.681819e+14"," 2.290020e-01"," 1.940120e-10"," 6.386203e+00"," 2.059775e+17"," 1.310873e+14"," 8.805644e-02"," 1.164072e-10"," 1.064367e+01"," 5.013222e+16"," 3.114207e+13"," 2.928709e-02"," 8.313376e-11"," 1.490369e+01"," 1.187283e+16"," 7.482722e+12"," 9.047586e-03"," 6.465936e-11"," 1.916196e+01"," 2.769388e+15"," 1.808032e+12"," 2.671957e-03"," 5.290281e-11"," 2.342031e+01"," 6.404506e+14"," 4.382658e+11"," 7.654407e-04"," 4.476372e-11"," 2.767867e+01"," 1.473953e+14"," 1.064469e+11"," 2.145137e-04"," 3.879508e-11"," 3.193704e+01"," 3.378815e+13"," 2.588835e+10"," 5.912674e-05"," 3.423086e-11"," 3.619541e+01"," 7.767469e+12"," 6.302008e+09"," 1.608656e-05"," 3.062754e-11"," 4.045379e+01"
" 1.108269e+00"," 1.039649e+03"," 1.289384e+04"," 1.936820e+18"," 2.834188e+15"," 3.787089e-01"," 5.852181e-10"," 2.117159e+00"," 8.039752e+17"," 5.809013e+14"," 2.328629e-01"," 1.950664e-10"," 6.351682e+00"," 2.130406e+17"," 1.361911e+14"," 9.099035e-02"," 1.170399e-10"," 1.058614e+01"," 5.276949e+16"," 3.288416e+13"," 3.075824e-02"," 8.358558e-11"," 1.482313e+01"," 1.268634e+16"," 8.031271e+12"," 9.658363e-03"," 6.501077e-11"," 1.905838e+01"," 3.010831e+15"," 1.972580e+12"," 2.899373e-03"," 5.319032e-11"," 2.329371e+01"," 7.070177e+14"," 4.860500e+11"," 8.443082e-04"," 4.500700e-11"," 2.752905e+01"," 1.655306e+14"," 1.200047e+11"," 2.405284e-04"," 3.900592e-11"," 3.176441e+01"," 3.857481e+13"," 2.966857e+10"," 6.739415e-05"," 3.441689e-11"," 3.599976e+01"," 9.002466e+12"," 7.341781e+09"," 1.863939e-05"," 3.079400e-11"," 4.023512e+01"
" 1.116200e+00"," 1.054580e+03"," 1.299240e+04"," 1.937560e+18"," 2.852954e+15"," 3.791446e-01"," 5.884161e-10"," 2.105653e+00"," 8.174736e+17"," 5.937537e+14"," 2.367215e-01"," 1.961324e-10"," 6.317162e+00"," 2.202315e+17"," 1.414332e+14"," 9.397914e-02"," 1.176794e-10"," 1.052860e+01"," 5.523908e+16"," 3.470296e+13"," 3.228305e-02"," 8.404233e-11"," 1.474257e+01"," 1.354274e+16"," 8.613418e+12"," 1.030215e-02"," 6.536602e-11"," 1.895480e+01"," 3.266957e+15"," 2.150086e+12"," 3.143103e-03"," 5.348098e-11"," 2.316712e+01"," 7.805860e+14"," 5.384472e+11"," 9.302431e-04"," 4.525294e-11"," 2.737944e+01"," 1.855838e+14"," 1.351166e+11"," 2.693457e-04"," 3.921907e-11"," 3.159177e+01"," 4.396277e+13"," 3.395159e+10"," 7.670417e-05"," 3.460496e-11"," 3.580411e+01"," 1.042941e+13"," 8.539287e+09"," 2.156181e-05"," 3.096227e-11"," 4.001645e+01"
" 1.124160e+00"," 1.069676e+03"," 1.309129e+04"," 1.940854e+18"," 2.871609e+15"," 3.795383e-01"," 5.916491e-10"," 2.094147e+00"," 8.315884e+17"," 6.067382e+14"," 2.405763e-01"," 1.972100e-10"," 6.282642e+00"," 2.274450e+17"," 1.468155e+14"," 9.702246e-02"," 1.183260e-10"," 1.047107e+01"," 5.798994e+16"," 3.660083e+13"," 3.386252e-02"," 8.450410e-11"," 1.466201e+01"," 1.442581e+16"," 9.230785e+12"," 1.098023e-02"," 6.572517e-11"," 1.885122e+01"," 3.531676e+15"," 2.341403e+12"," 3.404075e-03"," 5.377483e-11"," 2.304052e+01"," 8.598437e+14"," 5.958429e+11"," 1.023777e-03"," 4.550158e-11"," 2.722982e+01"," 2.079530e+14"," 1.519403e+11"," 3.012275e-04"," 3.943456e-11"," 3.141914e+01"," 5.003095e+13"," 3.879760e+10"," 8.717343e-05"," 3.479510e-11"," 3.560846e+01"," 1.205503e+13"," 9.916321e+09"," 2.490201e-05"," 3.113239e-11"," 3.979778e+01"
" 1.132152e+00"," 1.084939e+03"," 1.319052e+04"," 1.943319e+18"," 2.890152e+15"," 3.798903e-01"," 5.949179e-10"," 2.082640e+00"," 8.446178e+17"," 6.198532e+14"," 2.444261e-01"," 1.982996e-10"," 6.248122e+00"," 2.347829e+17"," 1.523397e+14"," 1.001199e-01"," 1.189797e-10"," 1.041354e+01"," 6.083238e+16"," 3.858016e+13"," 3.549765e-02"," 8.497097e-11"," 1.458145e+01"," 1.537407e+16"," 9.885045e+12"," 1.169388e-02"," 6.608830e-11"," 1.874765e+01"," 3.824798e+15"," 2.547428e+12"," 3.683257e-03"," 5.407193e-11"," 2.291392e+01"," 9.449205e+14"," 6.586494e+11"," 1.125473e-03"," 4.575297e-11"," 2.708021e+01"," 2.318095e+14"," 1.706474e+11"," 3.364561e-04"," 3.965243e-11"," 3.124651e+01"," 5.687713e+13"," 4.427318e+10"," 9.892980e-05"," 3.498734e-11"," 3.541281e+01"," 1.393251e+13"," 1.149739e+10"," 2.871377e-05"," 3.130439e-11"," 3.957911e+01"
" 1.140175e+00"," 1.100371e+03"," 1.329011e+04"," 1.945971e+18"," 2.908584e+15"," 3.802008e-01"," 5.982230e-10"," 2.071134e+00"," 8.588015e+17"," 6.330976e+14"," 2.482695e-01"," 1.994012e-10"," 6.213602e+00"," 2.423492e+17"," 1.580073e+14"," 1.032711e-01"," 1.196407e-10"," 1.035600e+01"," 6.376302e+16"," 4.064336e+13"," 3.718939e-02"," 8.544303e-11"," 1.450089e+01"," 1.637137e+16"," 1.057793e+13"," 1.244442e-02"," 6.645545e-11"," 1.864407e+01"," 4.138300e+15"," 2.769102e+12"," 3.981650e-03"," 5.437233e-11"," 2.278733e+01"," 1.039433e+15"," 7.273073e+11"," 1.235927e-03"," 4.600715e-11"," 2.693059e+01"," 2.590457e+14"," 1.914243e+11"," 3.753356e-04"," 3.987272e-11"," 3.107387e+01"," 6.445516e+13"," 5.045184e+10"," 1.121134e-04"," 3.518171e-11"," 3.521716e+01"," 1.602296e+13"," 1.331000e+10"," 3.305696e-05"," 3.147831e-11"," 3.936044e+01"
" 1.148232e+00"," 1.115976e+03"," 1.339007e+04"," 1.947834e+18"," 2.926905e+15"," 3.804701e-01"," 6.015650e-10"," 2.059628e+00"," 8.730044e+17"," 6.464701e+14"," 2.521051e-01"," 2.005152e-10"," 6.179082e+00"," 2.501319e+17"," 1.638202e+14"," 1.064754e-01"," 1.203091e-10"," 1.029847e+01"," 6.685968e+16"," 4.279288e+13"," 3.893870e-02"," 8.592037e-11"," 1.442033e+01"," 1.742601e+16"," 1.131122e+13"," 1.323317e-02"," 6.682671e-11"," 1.854049e+01"," 4.474237e+15"," 3.007416e+12"," 4.300294e-03"," 5.467608e-11"," 2.266073e+01"," 1.141423e+15"," 8.022868e+11"," 1.355767e-03"," 4.626418e-11"," 2.678098e+01"," 2.889262e+14"," 2.144734e+11"," 4.181928e-04"," 4.009548e-11"," 3.090124e+01"," 7.307929e+13"," 5.741467e+10"," 1.268772e-04"," 3.537826e-11"," 3.502151e+01"," 1.844231e+13"," 1.538498e+10"," 3.799816e-05"," 3.165416e-11"," 3.914177e+01"
