K,Brightness1,F1,wavelength1,photonEnergy1,Brightness3,F3,wavelength3,photonEnergy3,Brightness5,F5,wavelength5,photonEnergy5,Brightness7,F7,wavelength7,photonEnergy7,Brightness9,F9,wavelength9,photonEnergy9,Brightness11,F11,wavelength11,photonEnergy11,Brightness13,F13,wavelength13,photonEnergy13,Brightness15,F15,wavelength15,photonEnergy15,Brightness17,F17,wavelength17,photonEnergy17,Brightness19,F19,wavelength19,photonEnergy19
" 1.076835e+00"," 8.940135e+20"," 3.765412e-01"," 5.727413e-10"," 2.163280e+00"," 5.115333e+20"," 2.174189e-01"," 1.909124e-10"," 6.489888e+00"," 1.427726e+20"," 7.958674e-02"," 1.145462e-10"," 1.081660e+01"," 3.495139e+19"," 2.518520e-02"," 8.181798e-11"," 1.514337e+01"," 8.150775e+18"," 7.400982e-03"," 6.362845e-11"," 1.947242e+01"," 1.853768e+18"," 2.078831e-03"," 5.205933e-11"," 2.379977e+01"," 4.159328e+17"," 5.663718e-04"," 4.405004e-11"," 2.812710e+01"," 9.230703e+16"," 1.509469e-04"," 3.817656e-11"," 3.245447e+01"," 2.039701e+16"," 3.956564e-05"," 3.368508e-11"," 3.678186e+01"," 4.484411e+15"," 1.023651e-05"," 3.013921e-11"," 4.110924e+01"
" 1.084652e+00"," 8.934486e+20"," 3.771473e-01"," 5.758041e-10"," 2.151773e+00"," 5.203111e+20"," 2.212787e-01"," 1.919333e-10"," 6.455368e+00"," 1.476802e+20"," 8.235440e-02"," 1.151587e-10"," 1.075907e+01"," 3.675304e+19"," 2.650162e-02"," 8.225551e-11"," 1.506282e+01"," 8.725411e+18"," 7.920109e-03"," 6.396871e-11"," 1.936884e+01"," 2.018918e+18"," 2.262527e-03"," 5.233772e-11"," 2.367317e+01"," 4.591792e+17"," 6.269312e-04"," 4.428560e-11"," 2.797749e+01"," 1.037997e+17"," 1.699391e-04"," 3.838072e-11"," 3.228184e+01"," 2.330570e+16"," 4.530461e-05"," 3.386522e-11"," 3.658621e+01"," 5.227277e+15"," 1.192161e-05"," 3.030038e-11"," 4.089057e+01"
" 1.092496e+00"," 8.932470e+20"," 3.777105e-01"," 5.788999e-10"," 2.140267e+00"," 5.285329e+20"," 2.251402e-01"," 1.929652e-10"," 6.420847e+00"," 1.526420e+20"," 8.517770e-02"," 1.157778e-10"," 1.070153e+01"," 3.864071e+19"," 2.786856e-02"," 8.269774e-11"," 1.498227e+01"," 9.330877e+18"," 8.468577e-03"," 6.431263e-11"," 1.926527e+01"," 2.192316e+18"," 2.459961e-03"," 5.261911e-11"," 2.354658e+01"," 5.081243e+17"," 6.931392e-04"," 4.452370e-11"," 2.782788e+01"," 1.168092e+17"," 1.910588e-04"," 3.858707e-11"," 3.210921e+01"," 2.670077e+16"," 5.179575e-05"," 3.404729e-11"," 3.639056e+01"," 6.081623e+15"," 1.386016e-05"," 3.046329e-11"," 4.067191e+01"
" 1.100368e+00"," 8.920695e+20"," 3.782309e-01"," 5.820290e-10"," 2.128760e+00"," 5.369819e+20"," 2.290020e-01"," 1.940082e-10"," 6.386326e+00"," 1.579239e+20"," 8.805644e-02"," 1.164037e-10"," 1.064400e+01"," 4.062493e+19"," 2.928709e-02"," 8.314475e-11"," 1.490172e+01"," 9.943445e+18"," 9.047586e-03"," 6.466027e-11"," 1.916169e+01"," 2.383234e+18"," 2.671957e-03"," 5.290353e-11"," 2.341999e+01"," 5.614192e+17"," 7.654407e-04"," 4.476437e-11"," 2.767826e+01"," 1.313431e+17"," 2.145137e-04"," 3.879564e-11"," 3.193658e+01"," 3.048011e+16"," 5.912674e-05"," 3.423133e-11"," 3.619492e+01"," 7.065015e+15"," 1.608656e-05"," 3.062795e-11"," 4.045324e+01"
" 1.108269e+00"," 8.916883e+20"," 3.787089e-01"," 5.851922e-10"," 2.117253e+00"," 5.455566e+20"," 2.328629e-01"," 1.950626e-10"," 6.351806e+00"," 1.631528e+20"," 9.099035e-02"," 1.170363e-10"," 1.058646e+01"," 4.256639e+19"," 3.075824e-02"," 8.359663e-11"," 1.482117e+01"," 1.061428e+19"," 9.658363e-03"," 6.501168e-11"," 1.905811e+01"," 2.585837e+18"," 2.899373e-03"," 5.319105e-11"," 2.329339e+01"," 6.193286e+17"," 8.443082e-04"," 4.500765e-11"," 2.752865e+01"," 1.473450e+17"," 2.405284e-04"," 3.900649e-11"," 3.176395e+01"," 3.477846e+16"," 6.739415e-05"," 3.441737e-11"," 3.599927e+01"," 8.179243e+15"," 1.863939e-05"," 3.079441e-11"," 4.023457e+01"
" 1.116200e+00"," 8.910378e+20"," 3.791446e-01"," 5.883900e-10"," 2.105746e+00"," 5.534507e+20"," 2.367215e-01"," 1.961286e-10"," 6.317285e+00"," 1.685245e+20"," 9.397914e-02"," 1.176758e-10"," 1.052893e+01"," 4.467322e+19"," 3.228305e-02"," 8.405344e-11"," 1.474062e+01"," 1.132439e+19"," 1.030215e-02"," 6.536694e-11"," 1.895454e+01"," 2.803011e+18"," 3.143103e-03"," 5.348172e-11"," 2.316680e+01"," 6.830325e+17"," 9.302431e-04"," 4.525359e-11"," 2.737904e+01"," 1.652548e+17"," 2.693457e-04"," 3.921964e-11"," 3.159131e+01"," 3.958178e+16"," 7.670417e-05"," 3.460544e-11"," 3.580362e+01"," 9.474266e+15"," 2.156181e-05"," 3.096269e-11"," 4.001591e+01"
" 1.124160e+00"," 8.898672e+20"," 3.795383e-01"," 5.916229e-10"," 2.094239e+00"," 5.618731e+20"," 2.405763e-01"," 1.972062e-10"," 6.282764e+00"," 1.731173e+20"," 9.702246e-02"," 1.183224e-10"," 1.047139e+01"," 4.688357e+19"," 3.386252e-02"," 8.451527e-11"," 1.466007e+01"," 1.207254e+19"," 1.098023e-02"," 6.572610e-11"," 1.885096e+01"," 3.037637e+18"," 3.404075e-03"," 5.377557e-11"," 2.304020e+01"," 7.526867e+17"," 1.023777e-03"," 4.550224e-11"," 2.722943e+01"," 1.843444e+17"," 3.012275e-04"," 3.943513e-11"," 3.141868e+01"," 4.502574e+16"," 8.717343e-05"," 3.479558e-11"," 3.560797e+01"," 1.094931e+16"," 2.490201e-05"," 3.113281e-11"," 3.979724e+01"
" 1.132152e+00"," 8.889365e+20"," 3.798903e-01"," 5.948916e-10"," 2.082732e+00"," 5.705245e+20"," 2.444261e-01"," 1.982957e-10"," 6.248244e+00"," 1.785354e+20"," 1.001199e-01"," 1.189761e-10"," 1.041385e+01"," 4.915763e+19"," 3.549765e-02"," 8.498221e-11"," 1.457952e+01"," 1.284607e+19"," 1.169388e-02"," 6.608922e-11"," 1.874738e+01"," 3.289525e+18"," 3.683257e-03"," 5.407267e-11"," 2.291361e+01"," 8.264108e+17"," 1.125473e-03"," 4.575363e-11"," 2.707982e+01"," 2.061150e+17"," 3.364561e-04"," 3.965301e-11"," 3.124605e+01"," 5.113273e+16"," 9.892980e-05"," 3.498782e-11"," 3.541232e+01"," 1.263663e+16"," 2.871377e-05"," 3.130482e-11"," 3.957858e+01"
" 1.140175e+00"," 8.858167e+20"," 3.802008e-01"," 5.981965e-10"," 2.071226e+00"," 5.786871e+20"," 2.482695e-01"," 1.993974e-10"," 6.213723e+00"," 1.840605e+20"," 1.032711e-01"," 1.196371e-10"," 1.035632e+01"," 5.148570e+19"," 3.718939e-02"," 8.544454e-11"," 1.450063e+01"," 1.368444e+19"," 1.244442e-02"," 6.645638e-11"," 1.864381e+01"," 3.559477e+18"," 3.981650e-03"," 5.437308e-11"," 2.278701e+01"," 9.080001e+17"," 1.235927e-03"," 4.600782e-11"," 2.693020e+01"," 2.301256e+17"," 3.753356e-04"," 3.987330e-11"," 3.107342e+01"," 5.800516e+16"," 1.121134e-04"," 3.518220e-11"," 3.521668e+01"," 1.455128e+16"," 3.305696e-05"," 3.147873e-11"," 3.935991e+01"
" 1.148232e+00"," 8.846833e+20"," 3.804701e-01"," 6.015384e-10"," 2.059719e+00"," 5.870763e+20"," 2.521051e-01"," 2.005113e-10"," 6.179202e+00"," 1.898802e+20"," 1.064754e-01"," 1.203055e-10"," 1.029878e+01"," 5.385081e+19"," 3.893870e-02"," 8.592189e-11"," 1.442007e+01"," 1.455758e+19"," 1.323317e-02"," 6.682765e-11"," 1.854023e+01"," 3.834560e+18"," 4.300294e-03"," 5.467684e-11"," 2.266042e+01"," 9.975104e+17"," 1.355767e-03"," 4.626485e-11"," 2.678059e+01"," 2.564983e+17"," 4.181928e-04"," 4.009606e-11"," 3.090079e+01"," 6.572550e+16"," 1.268772e-04"," 3.537875e-11"," 3.502103e+01"," 1.675079e+16"," 3.799816e-05"," 3.165459e-11"," 3.914124e+01"
